1,000103*******080,Liezel,Mofokeng,2000-01-03
2,000103*******085,Keitumetse,Dlamini,2000-01-03
3,000104*******083,Dawid,Botha,2000-01-04
4,000105*******089,Bongani,Tau,2000-01-05
5,000106*******086,Tiaan,de Klerk,2000-01-06
6,000107*******084,Sipho,Erasmus,2000-01-07
7,000108*******080,Tiaan,Dlamini,2000-01-08
8,000109*******088,Zanele,Sebele,2000-01-09
9,000114*******086,Bongani,Modise,2000-01-14
10,000117*******081,Zinhle,Gumede,2000-01-17
11,000119*******083,Buhle,Botha,2000-01-19
12,000119*******086,Keitumetse,Zwane,2000-01-19
13,000122*******080,Busisiwe,Viljoen,2000-01-22
14,000125*******086,Lubabalo,de Klerk,2000-01-25
15,000126*******083,Johannes,de Klerk,2000-01-26
16,000202*******086,Johannes,Lekota,2000-02-02
17,000205*******086,Lerato,Modise,2000-02-05
18,000206*******081,Liezel,Cele,2000-02-06
19,000208*******086,Mieke,van Wyk,2000-02-08
20,000209*******084,Mieke,Tau,2000-02-09
21,000211*******088,Thabo,Botha,2000-02-11
22,000216*******080,Bongani,Gumede,2000-02-16
23,000216*******089,Sipho,Pretorius,2000-02-16
24,000219*******082,Lerato,Sebele,2000-02-19
25,000221*******085,Johannes,Lekota,2000-02-21
26,000224*******089,Nomvula,Mokoena,2000-02-24
27,000225*******083,Busisiwe,Dlamini,2000-02-25
28,000227*******083,Mieke,Botha,2000-02-27
29,000301*******086,Lerato,Botha,2000-03-01
30,000302*******083,Puleng,Louw,2000-03-02
31,000310*******086,Kabelo,Viljoen,2000-03-10
32,000311*******082,Kabelo,Ndlovu,2000-03-11
33,000312*******087,Zolani,Khoza,2000-03-12
34,000314*******082,Andile,Tau,2000-03-14
35,000315*******088,Jabulani,Gumede,2000-03-15
36,000317*******080,Jabulani,Dlamini,2000-03-17
37,000321*******086,Buhle,Zwane,2000-03-21
38,000323*******086,Zanele,Modise,2000-03-23
39,000326*******082,Zinhle,Mokoena,2000-03-26
40,000326*******086,Lerato,Pretorius,2000-03-26
41,000402*******085,Kabelo,Khoza,2000-04-02
42,000403*******080,Naledi,Gumede,2000-04-03
43,000403*******084,Johannes,Mofokeng,2000-04-03
44,000404*******083,Buhle,Khoza,2000-04-04
45,000404*******084,Nomvula,Botha,2000-04-04
46,000406*******082,Johannes,Mokoena,2000-04-06
47,000411*******084,Puleng,Pretorius,2000-04-11
48,000412*******089,Mieke,Ndlovu,2000-04-12
49,000414*******083,Zolani,Pretorius,2000-04-14
50,000417*******085,Busisiwe,Ndlovu,2000-04-17
51,000417*******088,Mieke,Moyo,2000-04-17
52,000422*******085,Buhle,Tau,2000-04-22
53,000424*******083,Busisiwe,Moyo,2000-04-24
54,000425*******085,Puleng,Mabaso,2000-04-25
55,000425*******085,Zinhle,Lekota,2000-04-25
56,000426*******086,Bongani,Dlamini,2000-04-26
57,000427*******081,Lerato,Gumede,2000-04-27
58,000501*******081,Tiaan,Gumede,2000-05-01
59,000506*******083,Busisiwe,Mofokeng,2000-05-06
60,000507*******087,Zanele,Khoza,2000-05-07
61,000510*******084,Siyabonga,Mabaso,2000-05-10
62,000516*******086,Lubabalo,van Wyk,2000-05-16
63,000517*******080,Mieke,Moyo,2000-05-17
64,000517*******083,Pieter,van Wyk,2000-05-17
65,000518*******083,Anika,Erasmus,2000-05-18
66,000518*******089,Zolani,Sebele,2000-05-18
67,000520*******081,Siyabonga,Venter,2000-05-20
68,000524*******081,Amogelang,Mokoena,2000-05-24
69,000524*******081,Zanele,Sebele,2000-05-24
70,000601*******087,Johannes,Zwane,2000-06-01
71,000602*******081,Amogelang,Ndlovu,2000-06-02
72,000604*******082,Busisiwe,Mofokeng,2000-06-04
73,000604*******084,Lerato,Mabaso,2000-06-04
74,000607*******086,Zanele,Tau,2000-06-07
75,000608*******085,Tiaan,Gumede,2000-06-08
76,000610*******087,Lerato,Mofokeng,2000-06-10
77,000611*******083,Siyabonga,Mabaso,2000-06-11
78,000611*******086,Lerato,Erasmus,2000-06-11
79,000613*******087,Zolani,Venter,2000-06-13
80,000613*******089,Zanele,Mofokeng,2000-06-13
81,000614*******081,Buhle,Lekota,2000-06-14
82,000615*******083,Buhle,de Klerk,2000-06-15
83,000615*******089,Zolani,van Wyk,2000-06-15
